name,province,district,beds (2024),funding,specialty
Phanom Hospital,Surat Thani,Phanom,30,Public,
Phanom Phrai Hospital,Roi Et,Phanom Phrai,42,Public,
Phanom Sarakham Hospital,Chachoengsao,Phanom Sarakham,163,Public,
Phatara-Thonburi Hospital,Pathum Thani,,,Private,
Phato Hospital,Chumphon,Phato,30,Public,
Phatthalung Hospital,Phatthalung,Mueang,567,Public,
Phatthana Nikhom Hospital,Lopburi,Phatthana Nikhom,66,Public,
Phaya Mengrai Hospital,Chiang Rai,Phaya Mengrai,60,Public,
Phayaban Sathan Phra Barami Hospital,Kanchanaburi,Nong Prue,30,,
Phayakkhaphum Phisai Hospital,Maha Sarakham,Phayakkhaphum Phisai,111,Public,
Phayao Hospital,Phayao,Mueang,400,Public,
Phayao Ram Hospital,Phayao,,,Private,
Phayu Hospital,Sisaket,Phayu,30,Public,
Phayuha Khiri Hospital,Nakhon Sawan,Phayuha Khiri,42,Public,
Phen Hospital,Udon Thani,Phen,114,Public,
Phetchabun Hospital,Phetchabun,Mueang,510,Public,
Phibun Mangsahan Hospital,Ubon Ratchathani,Phibun Mangsahan,154,Public,
Phibun Rak Hospital,Udon Thani,Phibun Rak,30,Public,
Phichai Hospital,Uttaradit,Phichai,70,Public,
Phichit Hospital,Phichit,Mueang,400,Public,
Phimai Hospital,Nakhon Ratchasima,Phimai,189,Public,
Phimai Medical Hospital,Nakhon Ratchasima,,,Private,
Phimon Rat Hospital,Nonthaburi,Bang Bua Thong,30,,
Phipun Hospital,Nakhon Si Thammarat,Phipun,33,Public,
Phisaivech Hospital,Nong Khai,,,Private,
Phlapphla Chai Hospital,Buriram,Phlapphla Chai,46,Public,
Pho Chai Hospital,Roi Et,Pho Chai,30,Public,
Pho Prathap Chang Hospital,Phichit,Pho Prathap Chang,30,Public,
Pho Sai Hospital,Ubon Ratchathani,Pho Sai,40,Public,
Pho Si Suwan Hospital,Sisaket,Pho Si Suwan,30,Public,
Pho Tak Hospital,Nong Khai,Pho Tak,15,Public,
Pho Thale Hospital,Phichit,Pho Thale,45,Public,
Pho Thong Hospital,Ang Thong,Pho Thong,60,Public,
Phon Charoen Hospital,Bueng Kan,Phon Charoen,37,Public,
Phon Hospital,Khon Kaen,Phon,117,Public,
Phon Na Kaeo Hospital,Sakon Nakhon,Phon Na Kaeo,34,Public,
Phon Phisai Hospital,Nong Khai,Phon Phisai,129,Public,
Phon Sai Hospital,Roi Et,Phon Sai,31,Public,
Phon Sawan Hospital,Nakhon Phanom,Phon Sawan,50,Public,
Phon Thong Hospital,Roi Et,Phon Thong,213,Public,
Phop Phra Hospital,Tak,Phop Phra,136,Public,
Phortan Khlai Vajasit (Chang Klang) Hospital,Nakhon Si Thammarat,,,Public,
Photharam Hospital,Ratchaburi,Photharam,340,Public,
Phra Achan Ban Thanakaro Hospital,Sakon Nakhon,Phu Phan,40,Public,
Phra Achan Fan Acharo Hospital,Sakon Nakhon,Phanna Nikhom,90,Public,
Phra Chulachomklao Fort Hospital,Samut Prakan,,,Public,
Phra Nakhon Si Ayutthaya Hospital,Ayutthaya,,,Public,
Phra Nakhon Si Ayutthaya Hospital,Phra Nakhon Si Ayutthaya,Mueang,560,,
Phra Nang Klao Hospital,Nonthaburi,Mueang,657,Public,
Phra Phrom Hospital,Nakhon Si Thammarat,Phra Phrom,60,Public,
Phra Phutthabat Hospital,Saraburi,Phra Phutthabat,315,Public,
Phra Saeng Hospital,Surat Thani,,,Public,
Phra Samut Chedi Sawatayanon Hospital,Samut Prakan,Phra Samut Chedi,52,Public,
Phra Thong Kham Chaloem Phrakiat Hospital,Nakhon Ratchasima,Phra Thong Kham,30,,
Phra Thongkham Chaloem Phrakiat Hospital Marking His Majesty the King's 80th Birthday,Nakhon Ratchasima,,,Public,
Phra Yuen Hospital,Khon Kaen,Phra Yuen,34,Public,
Phrachomklao Hospital,Phetchaburi,Mueang,463,,
Phrae Christian Hospital,Phrae,,,Private,
Phrae Hospital,Phrae,Mueang,568,Public,
Phrae-Ram Hospital,Phrae,,,Private,
Phrai Bueng Hospital,Sisaket,Phrai Bueng,33,Public,
Phramongkutklao Hospital,Bangkok,,,Public,
Phran Kratai Hospital,Kamphaeng Phet,Phran Kratai,66,Public,
Phrao Hospital,Chiang Mai,Phrao,60,Public,
Phrapokklao Hospital,Chanthaburi,,,Public,
Phrasaeng Hospital,Surat Thani,Phrasaeng,60,,
Phrom Buri Hospital,Singburi,Phrom Buri,28,Public,
Phrom Khiri Hospital,Nakhon Si Thammarat,Phrom Khiri,30,Public,
Phrom Phiram Hospital,Phitsanulok,Phrom Phiram,50,Public,
Phu Kamyao Hospital,Phayao,Phu Kamyao,0,Public,
Phu Khiao Chaloem Phra Kiat Hospital,Chaiyaphum,Phu Khiao,324,Public,
Phu Kradueng Hospital,Loei,Phu Kradueng,32,Public,
Phu Luang Hospital,Loei,Phu Luang,40,Public,
Phu Pha Man Hospital,Khon Kaen,Phu Pha Man,30,Public,
Phu Phiang Hospital,Nan,Phu Phiang,20,Public,
Phu Ruea Hospital,Loei,Phu Ruea,30,Public,
Phu Sang Hospital,Phayao,Phu Sang,0,Public,
Phu Sing Hospital,Sisaket,Phu Sing,34,Public,
Phu Wiang Hospital,Khon Kaen,Phu Wiang,60,Public,
Phuket International Hospital,Phuket,,,Private,
Phun Phin Hospital,Surat Thani,,,Public,
Phunphin Hospital,Surat Thani,Phunphin,60,,
Phutthaisong Hospital,Buriram,Phutthaisong,67,Public,
Phutthamonthon Hospital,Nakhon Pathom,Phutthamonthon,34,Public,
Phyathai 1 Hospital,Bangkok,,,Private,
Phyathai 2 Hospital,Bangkok,,,Private,
Phyathai 3 Hospital,Bangkok,,,Private,
Phyathai Siracha Hospital,Chonburi,,,Private,
Pitsanuvej Hospital,Phitsanulok,,,Private,
Piyamin Hospital,Samut Prakan,,,Private,
Piyarak Hospital,Phatthalung,,,Private,
Piyavate Hospital,Bangkok,,,Private,
Piyavate Hospital Bowin,Chonburi,,,Private,
Pla Pak Hospital,Nakhon Phanom,Pla Pak,30,Public,
Plaeng Yao Hospital,Chachoengsao,Plaeng Yao,73,Public,
Plai Phraya Hospital,Krabi,Plai Phraya,53,Public,
Pluak Daeng Hospital,Rayong,Pluak Daeng,76,Public,
Poei Noi Hospital,Khon Kaen,Poei Noi,30,Public,
Polgamnerdsiri Hospital,Phetchaburi,,,Private,
Police General Hospital,Bangkok,,,Public,
Pong Hospital,Phayao,Pong,33,Public,
Pong Nam Ron Hospital,Chanthaburi,Pong Nam Ron,69,Public,
Pornchai Hospital,Suphanburi,,,Private,
Porthan Khlai Vajasit Hospital,Nakhon Si Thammarat,Chang Klang,31,,
Prachaksinlapakhom Hospital,Udon Thani,Prachaksinlapakhom,30,Public,
Prachantakham Hospital,Prachinburi,Prachantakham,33,Public,
Pracharak Wetchakarn Hospital,Sisaket,,,Private,
Prachathipat Hospital,Pathum Thani,Thanyaburi,37,Public,
Prachuap Khiri Khan Hospital,Prachuap Khiri Khan,Mueang,278,Public,
Prakhon Chai Hospital,Buriram,Prakhon Chai,170,Public,
Pran Buri Hospital,Prachuap Khiri Khan,Pran Buri,60,Public,
Prang Ku Hospital,Sisaket,Prang Ku,60,Public,
Prapokklao Hospital,Chanthaburi,Mueang,747,,
Praram 2 Hospital,Bangkok,,,Private,
Praram 9 Hospital,Bangkok,,,Private,
Prasarnmit Hospital,Bangkok,,,Public,
Prasat Hospital,Surin,Prasat,265,Public,
Prasat Neurological Institute,Bangkok,,,Public,Neurology
Prasrimahabhodi Psychiatric Hospital,Ubon Ratchathani,,,Public,Psychiatry
Prathai Hospital,Nakhon Ratchasima,Prathai,72,Public,
Priest Hospital,Bangkok,,,Public,
Prince Maha Vajiralongkorn 50th Birthday Hospital,Ubon Ratchathani,,,Public,
Prince of Songkla University Dental Hospital,Songkhla,,,Public,Dentistry
Promphat Hospital,Ratchaburi,,,Private,
Pua Crown Prince Hospital,Nan,Pua,120,Public,
Queen Savang Vadhana Memorial Hospital,Chonburi,,,Public,
Queen Sirikit Heart Center of the Northeast,Khon Kaen,,,Public,
Queen Sirikit National Institute of Child Health,Bangkok,,,Public,Paediatrics
Queen Sirikit Naval Hospital,Chonburi,,,Public,
Ra-ngae Hospital,Narathiwat,Ra-ngae,134,Public,
Radiotherapy and Nuclear Medicine Hospital,Phitsanulok,,,Private,
Rajanagarindra Institute of Child Development,Chiang Mai,,,Public,Psychiatry
Rajanukul Institute,Bangkok,,,Public,Psychiatry
Rajavej Hospital,Chiang Mai,,,Private,
Rajavej Hospital,Ubon Ratchathani,,,Private,
Rajavithi Hospital,Bangkok,,,Public,
Rajburana Hospital,Bangkok,,,Private,
Rajthanee Hospital,Ayutthaya,,,Private,
Rajyindee Hospital,Songkhla,,,Private,
Rak Sakon Hospital,Sakon Nakhon,,,Private,
Raman Hospital,Yala,Raman,90,Public,
Ramathibodi Chakri Naruebodindra Hospital (Chakri Naruebodindra Medical Institute),Samut Prakan,,,Public,
Ramathibodi Hospital,Bangkok,,,Public,
Ramkhamhaeng Hospital,Bangkok,,,Private,
Rangsit General Hospital,Pathum Thani,,,Private,
Ranong Hospital,Ranong,Mueang,300,Public,
Ranot Hospital,Songkhla,Ranot,62,Public,
Rasi Salai Hospital,Sisaket,Rasi Salai,90,Public,
Ratanavej 2 Hospital,Phitsanulok,,,Private,
Ratanavej Hospital,Phitsanulok,,,Private,
Ratchaburi Hospital,Ratchaburi,Mueang,855,Public,
Ratchada-Tha Phra Health Centre,Bangkok,,,Private,
Ratchadamnoen Hospital,Trang,,,Private,
Ratchaphiphat Hospital,Bangkok,,,Public,
Ratchaphruek Hospital,Khon Kaen,,,Private,
Ratchapracha Samasai Institute,Samut Prakan,,,Public,Dermatology
Ratchasan Hospital,Chachoengsao,Ratchasan,13,Public,
Ratrin Hospital,Samut Prakan,,,Private,
Ratsada Hospital,Trang,Ratsada,49,Public,
Rattana Phaet Hospital,Udon Thani,,,Private,
Rattanaburi Hospital,Surin,Rattanaburi,130,Public,
Rattanathibet Medical Center,Nonthaburi,,,Private,
Rattanavej Hospital,Nakhon Sawan,,,Private,
Rattanawapi Hospital,Nong Khai,Rattanawapi,30,Public,
Rattaphum Hospital,Songkhla,Rattaphum,73,Public,
Rayong Hospital,Rayong,Mueang,679,Public,
Renu Nakhon Hospital,Nakhon Phanom,Renu Nakhon,30,Public,
Rhuampath Chainat Hospital,Chainat,,,Private,
Rhuampath Chiangmai Hospital,Chiang Mai,,,Private,
Roamklao Hospital,Ubon Ratchathani,,,Private,
Roi Et Hospital,Roi Et,Mueang,881,Public,
Roi-Et Thonburi Hospital,Roi Et,,,Private,
Romchat Hospital,Nakhon Sawan,,,Private,
Ron Phibun Hospital,Nakhon Si Thammarat,Ron Phibun,83,Public,
Rong Kham Hospital,Kalasin,Rong Kham,30,Public,
Rong Kwang Hospital,Phrae,Rong Kwang,41,Public,
Roumpath Sukhothai Hospital,Sukhothai,,,Private,
Royal Thai Air Force Wing 1 Hospital,Nakhon Ratchasima,,,Public,
Royal Thai Air Force Wing 2 Hospital,Lopburi,,,Public,
Royal Thai Air Force Wing 21 Hospital,Ubon Ratchathani,,,Public,
Royal Thai Air Force Wing 23 Hospital,Udon Thani,,,Public,
Royal Thai Air Force Wing 4 Hospital,Nakhon Sawan,,,Public,
Royal Thai Air Force Wing 41 Hospital,Chiang Mai,,,Public,
Royal Thai Air Force Wing 46 Hospital,Phitsanulok,,,Public,
Royal Thai Air Force Wing 53 Hospital,Prachuap Khiri Khan,,,Public,
Royal Thai Air Force Wing 56 Hospital,Songkhla,,,Public,
Royal Thai Air Force Wing 67 Hospital,Surat Thani,,,Public,
Royal Thai Naval Academy Hospital,Samut Prakan,,,Public,
Ruam Phaet Hospital,Krabi,,,Private,
Ruam Phaet Hospital,Phatthalung,,,Private,
Ruam Phaet Nakhon Sawan Hospital,Nakhon Sawan,,,Private,
Ruamchai Pracharak Hospital,Samut Prakan,,,Private,
Ruampaet Hospital (Dr. Anan),Surin,,,Private,
Ruampat Rayong Hospital,Rayong,,,Private,
Ruamphaet Nongkhai Hospital,Nong Khai,,,Private,
Ruamphat Pitsanulok Hospital,Phitsanulok,,,Private,
Ruamphat Thungsong Hospital,Nakhon Si Thammarat,,,Private,
Rue So Hospital,Narathiwat,,,Public,
Rueso Hospital,Narathiwat,Rueso,82,,
Rutnin Eye Hospital,Bangkok,,,Private,
Sa Bot Hospital,Lopburi,Sa Bot,30,Public,
Sa Kaeo Crown Prince Hospital,Sa Kaeo,Mueang,466,Public,
Sa Kaeo Rajanakarindra Psychiatric Hospital,Sa Kaeo,,,Public,Psychiatry
Sa Khrai Hospital,Nong Khai,Sa Khrai,30,Public,
Saba Yoi Hospital,Songkhla,Saba Yoi,30,Public,
Sadao Hospital,Songkhla,Sadao,74,Public,
Sahatsakhan Hospital,Kalasin,Sahatsakhan,40,Public,
Sahavej Hospital,Phichit,,,Private,
Sai Buri Crown Prince Hospital,Pattani,Sai Buri,135,Public,
Sai Mun Hospital,Yasothon,Sai Mun,30,Public,
Sai Ngam Hospital,Kamphaeng Phet,Sai Ngam,30,Public,
Sai Noi Hospital,Nonthaburi,Sai Noi,60,Public,
Sai Thong Watthana Hospital,Kamphaeng Phet,Sai Thong Watthana,30,Public,
Sai Yok Hospital,Kanchanaburi,Sai Yok,58,Public,
Saimai Hospital,Bangkok,,,Private,
Saint Louis Hospital,Bangkok,,,Private,
Saint Mary's Hospital,Nakhon Ratchasima,,,Private,
Saint Peter Eye Hospital,Chiang Mai,,,Private,
Sak Lek Hospital,Phichit,Sak Lek,19,Public,
Sakon Nakhon Hospital,Sakon Nakhon,Mueang,907,Public,
Salaya Hospital,Nakhon Pathom,,,Private,
Salaya Nursing Home,Nakhon Pathom,,,Private,
Sam Chai Hospital,Kalasin,Sam Chai,30,Public,
Sam Chuk Hospital,Suphan Buri,Sam Chuk,83,,
Sam Chuk Hospital,Suphanburi,,,Public,
Sam Khok Hospital,Pathum Thani,Sam Khok,36,Public,
Sam Ko Hospital,Ang Thong,Sam Ko,36,Public,
Sam Ngam Hospital,Phichit,Sam Ngam,30,Public,
Sam Ngao Hospital,Tak,Sam Ngao,36,Public,
Sam Phran Hospital,Nakhon Pathom,Sam Phran,136,Public,
Sam Roi Yot Hospital,Prachuap Khiri Khan,Sam Roi Yot,90,Public,
Sam Sung Hospital,Khon Kaen,Sam Sung,30,Public,
Samitivej Srinakarin Hospital,Bangkok,,,Private,
Samitivej Sriracha Hospital,Chonburi,,,Private,
Samitivej Sukhumvit Hospital,Bangkok,,,Private,
Samoeng Hospital,Chiang Mai,Samoeng,37,Public,
Samreang General Hospital,Suphanburi,,,Private,
Samrong General Hospital,Samut Prakan,,,Private,
Samrong Hospital,Ubon Ratchathani,Samrong,30,Public,
Samrong Thap Hospital,Surin,Samrong Thap,66,Public,
Samui International Hospital,Surat Thani,,,Private,
Samut Prakan Hospital,Samut Prakan,Mueang,594,Public,
Samut Sakhon Hospital,Samut Sakhon,Mueang,693,Public,
Samut Songkhram Hospital,Samut Songkhram,,,Public,
San Camillo Hospital,Ratchaburi,,,Private,
San Kamphaeng Hospital,Chiang Mai,San Kamphaeng,50,Public,
San Pa Tong Hospital,Chiang Mai,San Pa Tong,196,Public,
San Paulo Hua-Hin Hospital,Prachuap Khiri Khan,,,Private,
San Sai Hospital,Chiang Mai,San Sai,234,Public,
Sanam Chai Khet Hospital,Chachoengsao,Sanam Chai Khet,150,Public,
Sanam Chan Hospital,Nakhon Pathom,,,Private,
Sang Khom Hospital,Udon Thani,Sang Khom,30,Public,
Sangkha Hospital,Surin,Sangkha,216,Public,
Sangkhla Buri Hospital,Kanchanaburi,Sangkhla Buri,61,Public,
Sangkhom Hospital,Nong Khai,Sangkhom,30,Public,
Sankhaburi Hospital,Chai Nat,Sankhaburi,60,,
Sankhaburi Hospital,Chainat,,,Public,
Sanom Hospital,Surin,Sanom,39,Public,
Santisuk Hospital,Nan,Santisuk,24,Public,
Sao Hai Chaloem Phrakiat Hospital,Saraburi,Sao Hai,28,,
Sao Hai Hospital,Saraburi,,,Public,
Sap Yai Hospital,Chaiyaphum,Sap Yai,30,,
Sapphaya Hospital,Chai Nat,Sapphaya,30,,
Sapphaya Hospital,Chainat,,,Public,
Saraburi Hospital,Saraburi,Mueang,700,Public,
Saraphi Hospital,Chiang Mai,Saraphi,71,Public,
Sathan Phra Barami Hospital,Kanchanaburi,,,Public,
Sathing Phra Hospital,Songkhla,Sathing Phra,42,Public,
Sattahip K.M. 10 Hospital,Chonburi,Sattahip,66,Public,
Satuek Hospital,Buriram,Satuek,135,Public,
Satun Hospital,Satun,Mueang,300,Public,
Sawaeng Ha Hospital,Ang Thong,Sawaeng Ha,48,Public,
Sawang Arom Hospital,Uthai Thani,Sawang Arom,30,Public,
Sawang Daen Din Crown Prince Hospital,Sakon Nakhon,Sawang Daen Din,276,Public,
Sawang Wirawong Hospital,Ubon Ratchathani,Sawang Wirawong,30,Public,
Sawankhalok Hospital,Sukhothai,Sawankhalok,111,Public,
Sawanpracharak Hospital,Nakhon Sawan,Mueang,749,Public,
Sawi Hospital,Chumphon,Sawi,66,Public,
Seka Hospital,Bueng Kan,Seka,125,Public,
Selaphum Hospital,Roi Et,Selaphum,112,Public,
Sena Hospital,Ayutthaya,,,Public,
Sena Hospital,Phra Nakhon Si Ayutthaya,Sena,208,,
Senangkhanikhom Hospital,Amnat Charoen,Senangkhanikhom,30,Public,
Seriruk Hospital,Bangkok,,,Private,
Si Banphot Hospital,Phatthalung,Si Banphot,30,Public,
Si Bun Rueang Hospital,Nong Bua Lamphu,Si Bun Rueang,90,Public,
Si Chiang Mai Hospital,Chiang Mai,,,Public,
Si Chiang Mai Hospital,Nong Khai,Si Chiang Mai,30,Public,
Si Chomphu Hospital,Khon Kaen,Si Chomphu,78,Public,
Si Maha Phot Hospital,Prachinburi,Si Maha Phot,66,Public,
Si Mahosot Hospital,Prachinburi,Si Mahosot,30,Public,
Si Mueang Mai Hospital,Ubon Ratchathani,Si Mueang Mai,60,Public,
Si Nakhon Hospital,Sukhothai,Si Nakhon,30,Public,
Si Narong Hospital,Surin,Si Narong,36,Public,
Si Prachan Hospital,Suphan Buri,Si Prachan,60,,
Si Prachan Hospital,Suphanburi,,,Public,
Si Rattana Hospital,Sisaket,Si Rattana,70,Public,
Si Sakhon Hospital,Narathiwat,Si Sakhon,54,Public,
Si Satchanalai Hospital,Sukhothai,Si Satchanalai,60,Public,
Si Somdet Hospital,Roi Et,Si Somdet,37,Public,
Si Songkhram Hospital,Nakhon Phanom,Si Songkhram,90,Public,
Si That Hospital,Udon Thani,Si That,30,Public,
Si Thep Hospital,Phetchabun,Si Thep,57,Public,
Si Wilai Hospital,Bueng Kan,Si Wilai,38,Public,
Siamrad Hospital Chiangmai,Chiang Mai,,,Private,
Sichon Hospital,Nakhon Si Thammarat,Sichon,306,Public,
Sida Hospital,Nakhon Ratchasima,Sida,24,Public,
Sikao Hospital,Trang,Sikao,48,Public,
Sikarin Hatyai Hospital,Songkhla,,,Private,
Sikarin Hospital,Bangkok,,,Private,
Sikhio Hospital,Nakhon Ratchasima,Sikhio,145,Public,
Sikhoraphum Hospital,Surin,Sikhoraphum,227,Public,
Sila Lat Hospital,Sisaket,Sila Lat,30,Public,
Sing Buri Hospital,Sing Buri,Mueang,282,,
Singburi Hospital,Singburi,,,Public,
Singburi Vechakarn Hospital,Singburi,,,Private,
Singhanakhon Hospital,Songkhla,Singhanakhon,30,Public,
Sirindhorn Hospital,Bangkok,,,Public,
Sirindhorn Hospital,Khon Kaen,Mueang,170,Public,
Sirindhorn Hospital,Ubon Ratchathani,Sirindhorn,30,Public,
Sirindhorn National Medical Rehabilitation Centre,Nonthaburi,,,Public,PM&R
Sirindhorn Red Cross Health Station,Nakhon Si Thammarat,,,Public,
Siriraj Hospital,Bangkok,,,Public,
Siriraj Piyamaharajkarun Hospital,Bangkok,,,Public,
Sirivej Hospital Chanthaburi,Chanthaburi,,,Private,
Sirivej Lamphun Hospital,Lamphun,,,Private,
Siroros Hospital,Yala,,,Private,
Sisaket Hospital,Sisaket,Mueang,853,Public,
So Phisai Hospital,Bueng Kan,So Phisai,73,Public,
Soem Ngam Hospital,Lampang,Soem Ngam,30,Public,
Soeng Sang Hospital,Nakhon Ratchasima,Soeng Sang,60,Public,
Soi Dao Hospital,Chanthaburi,Soi Dao,62,Public,
Somdej Phra Phutthaloetla Hospital,Samut Songkhram,Mueang,282,,
Somdejphrajaotaksin Maharaj Hospital,Tak,Mueang,329,,
Somdejphrasangkharach XVII Hospital,Suphan Buri,Song Phi Nong,262,,
Somdejprasangkharach XIX Hospital,Kanchanaburi,Tha Muang,141,,
Somdejprasangkharach XVII Hospital,Suphanburi,,,Public,
Somdet Chaopraya Institute of Psychiatry,Bangkok,,,Public,Psychiatry
Somdet Hospital,Kalasin,Somdet,114,Public,
Somdet Phra Pinklao Hospital,Bangkok,,,Public,
Somdet Phra Piya Maharat Rommaniyakhet Hospital,Kanchanaburi,Sai Yok,30,Public,
Somdet Phra Sangkharat Wassanamahatayra (Nakhon Luang) Hospital,Ayutthaya,,,Public,
Somdet Phra Sangkharat Wassanamahatayra Hospital,Phra Nakhon Si Ayutthaya,Nakhon Luang,45,,
Somdet Phra Yanasangwon (Wiang Chai) Hospital,Chiang Rai,,,Public,
Somdet Phra Yanasangwon Hospital,Chiang Rai,Wiang Chai,30,,
Somdet Phrachao Taksin Maharat Hospital,Tak,,,Public,
Song Dao Hospital,Sakon Nakhon,Song Dao,38,Public,
Song Hospital,Phrae,Song,55,Public,
Song Khwae Hospital,Nan,Song Khwae,15,Public,
Song Phi Nong Hospital,Chanthaburi,Song Phi Nong,32,Public,
Songkhla Drug Dependence Treatment Center,Songkhla,,,Public,
Songkhla Hospital,Songkhla,Mueang,508,Public,
Songkhla Naval Base Hospital,Songkhla,,,Public,
Songkhla Rajanakarindra Psychiatric Hospital,Songkhla,,,Public,Psychiatry
Songklanagarind Hospital,Songkhla,,,Public,
Sop Moei Hospital,Mae Hong Son,Sop Moei,30,Public,
Sop Prap Hospital,Lampang,Sop Prap,30,Public,
Sotaravej Hospital,Chachoengsao,,,Private,
Sothonwet Hospital,Prachinburi,,,Private,
Srinagarind Hospital,Khon Kaen,,,Public,
Srinagarindra (Panyananthaphikkhu) Hospital,Phatthalung,Srinagarindra,30,Public,
Srisangwan Hospital,Mae Hong Son,Mueang,154,Public,
Srisangwon Sukhothai Hospital,Sukhothai,Si Samrong,307,Public,
Srisawan Hospital,Nakhon Sawan,,,Private,
Srisukho Health Centre,Phichit,,,Private,
Srithanya Hospital,Nonthaburi,,,Public,Psychiatry
Srivichai 2 Hospital,Bangkok,,,Private,
Srivichai 3 Hospital,Samut Sakhon,,,Private,
Srivichai 5 Hospital,Samut Sakhon,,,Private,
Srivichai Hospital,Bangkok,,,Private,
Srivichai Suratthani Hospital,Surat Thani,,,Private,
Su-ngai Kolok Hospital,Narathiwat,Su-ngai Kolok,212,Public,
Su-ngai Padi Hospital,Narathiwat,Su-ngai Padi,41,Public,
Suan Phueng Hospital,Ratchaburi,Suan Phueng,60,Public,
Suan Saranrom Psychiatric Hospital,Surat Thani,,,Public,Psychiatry
Suanprung Psychiatric Hospital,Chiang Mai,,,Public,Psychiatry
Suddhavej Hospital,Maha Sarakham,,,Public,
Suk Samran Hospital,Ranong,Suk Samran,10,Public,
Suk Siri Si Sawat Hospital,Kanchanaburi,Si Sawat,10,Public,
Sukavet Nursing Home,Bangkok,,,Private,
Sukhirin Hospital,Narathiwat,Sukhirin,35,Public,
Sukhothai Hospital,Sukhothai,Mueang,320,Public,
Sukhumvit Hospital,Bangkok,,,Private,
Sung Men Hospital,Phrae,Sung Men,64,Public,
Sung Noen Hospital,Nakhon Ratchasima,Sung Noen,117,Public,
Sunpasithiprasong Hospital,Ubon Ratchathani,,,Public,
Sunpasitthiprasong Hospital,Ubon Ratchathani,Mueang,1188,,
Supamitr General Hospital,Suphanburi,,,Private,
Supamitr Sena Hospital,Ayutthaya,,,Private,
Suranaree University of Technology Hospital (SUTH),Nakhon Ratchasima,,,Public,
Surat Thani Cancer Center,Surat Thani,,,Public,Oncology
Surat Thani Hospital,Surat Thani,Mueang,885,Public,
Surin Hospital,Surin,Mueang,914,Public,
Surin Ruam Phaet Hospital,Surin,,,Private,
Sutthisan Hospital,Bangkok,,,Private,
Suwannakhuha Hospital,Nong Bua Lamphu,Suwannakhuha,40,Public,
Suwannaphum Hospital,Roi Et,Suwannaphum,181,Public,
Synphaet Hospital,Bangkok,,,Private,
Ta Phraya Hospital,Sa Kaeo,Ta Phraya,53,Public,
Tak Bai Hospital,Narathiwat,Tak Bai,100,Public,
Tak Fa Hospital,Nakhon Sawan,Tak Fa,30,Public,
Takhli Hospital,Nakhon Sawan,Takhli,90,Public,
Taksin Hospital,Bangkok,,,Public,
Takua Pa Hospital,Phang Nga,Takua Pa,209,Public,
Takua Thung Hospital,Phang Nga,Takua Thung,36,Public,
Tamot Hospital,Phatthalung,Tamot,31,Public,
Tan Sum Hospital,Ubon Ratchathani,Tan Sum,30,Public,
Tao Ngoi Hospital,Sakon Nakhon,Tao Ngoi,35,Public,
Taphan Hin Crown Prince Hospital,Phichit,Taphan Hin,90,Public,
Teerawat Hospital,Kalasin,,,Private,
Tha Bo Crown Prince Hospital,Nong Khai,Tha Bo,266,Public,
Tha Chalom City (Samut Sakhon 3) Hospital,Samut Sakhon,Mueang,74,,
Tha Chana Hospital,Surat Thani,Tha Chana,30,Public,
Tha Chang Hospital,Singburi,Tha Chang,42,Public,
Tha Chang Hospital,Surat Thani,Tha Chang,30,Public,
Tha Khantho Hospital,Kalasin,Tha Khantho,60,Public,
Tha Kradan Hospital,Kanchanaburi,Si Sawat,32,Public,
Tha Li Hospital,Loei,Tha Li,35,Public,
Tha Luang Hospital,Lopburi,Tha Luang,38,Public,
Tha Mai Hospital,Chanthaburi,Tha Mai,33,Public,
Tha Muang Hospital,Kanchanaburi,,,Public,
Tha Phae Hospital,Satun,Tha Phae,69,Public,
Tha Pla Hospital,Uttaradit,Tha Pla,30,Public,
Tha Rong Chang Hospital,Surat Thani,Tha Rong Chang,90,Public,
Tha Ruea Hospital,Ayutthaya,,,Public,
Tha Ruea Hospital,Kanchanaburi,,,Private,
Tha Ruea Hospital,Phra Nakhon Si Ayutthaya,Tha Ruea,32,,
Tha Sae Hospital,Chumphon,Tha Sae,75,Public,
Tha Sala Hospital,Nakhon Si Thammarat,Tha Sala,300,Public,
Tha Song Yang Hospital,Tak,Tha Song Yang,100,Public,
Tha Takiap Hospital,Chachoengsao,Tha Takiap,45,Public,
Tha Tako Hospital,Nakhon Sawan,Tha Tako,60,Public,
Tha Tum Hospital,Surin,Tha Tum,140,Public,
Tha Uthen Hospital,Nakhon Phanom,Tha Uthen,40,Public,
Tha Wang Pha Hospital,Nan,Tha Wang Pha,45,Public,
Tha Wung Hospital,Lopburi,Tha Wung,52,Public,
Tha Yang Hospital,Phetchaburi,Tha Yang,78,Public,
Thai Charoen Hospital,Yasothon,Thai Charoen,30,Public,
Thai Eye Center,Bangkok,,,Private,
Thai International Hospital,Surat Thani,,,Private,
Thai Mueang Chaiphat Hospital,Phang Nga,Thai Mueang,33,Public,
Thai Red Cross Rehabilitation Center,Samut Prakan,,,Public,PM&R
Thai Red Cross Relief and Public Health Bureau,Bangkok,,,Public,
Thailand Tobacco Monopoly Hospital,Bangkok,,,Public,
Thainakarin Hospital,Bangkok,,,Private,
Thaksin Hospital,Surat Thani,,,Private,
Thalang Hospital,Phuket,Thalang,90,Public,
Tham Phannara Hospital,Nakhon Si Thammarat,Tham Phannara,26,Public,
Thammasat University Hospital,Pathum Thani,,,Public,
